name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Loft Duplex Oxford Circus Luxury,"Right in the centre of London, set within a short distance of Oxford Circus and Oxford Street, Loft Duplex Oxford Circus Luxury offers free WiFi, air...",24 Market Place - Orwell Studio,,,London,Greater London,W1W 8ER,UK,,,,,W1W,Apartment,Hosted by David,Entire apartment
The Soho STAR,"Providing city views, The Soho STAR is located in the Westminster Borough district of London, 800 metres from Tottenham Court Road and 500 metres from...",Poland Street,,,London,Greater London,W1F 8QF,UK,,,,,W1F,Apartment,Hosted by London Dream Vacations,Apartments
Karma Sanctum Soho Hotel,"Ideally located in London's West End, the stylish Sanctum Soho Hotel features a rooftop garden with a 24-hour bar and the onsite Wild Heart Restaurant.",20 Warwick Street,,,London,Greater London,W1B 5NF,UK,,,,,W1B,Hotel,,
Central London Apartment - H,"Central London Apartment - H is set in the Westminster Borough district of London, 1.6 km from Tottenham Court Road, 1.5 km from Dominion Theatre and 1.",Hallam Street,,,London,Greater London,W1W 5HE,UK,,,,,W1W,Apartment,,Entire apartment
2 Bed Mews House Marylebone,"In the Westminster Borough district of London, close to Oxford Street, 2 Bed Mews House Marylebone features free WiFi and a washing machine.",11 Weymouth Mews,,,London,Greater London,W1G 7EA,UK,,,,,W1G,Apartment,,Entire apartment
GARDEN Flat in Posh MEWS,"Set in the centre of London, just less than 1 km from Oxford Circus and a 10-minute walk from Oxford Street, GARDEN Flat in Posh MEWS offers accommodation...",45 Portland Place,,,London,Greater London,W1G 7BD,UK,,,,,W1G,Apartment,Managed by Suzy,Entire apartment
Weymouth Mews,Weymouth Mews provides accommodation located 1.6 km from the centre of London and offers free bikes and a terrace.,Weymouth Mews,,,London,Greater London,W1G 7EE,UK,,,,,W1G,Aparthotel,Managed by Weymouth Mews,Apartments
4 Bed Marylebone Mews,"In the Westminster Borough district of London, close to Oxford Street, 4 Bed Marylebone Mews has free WiFi and a washing machine.",8 Cavendish Mews South,,,London,Greater London,W1W 6LB,UK,,,,,W1W,Apartment,,Entire apartment
Astor Court Hotel,"A 5-minute walk from the shops at Oxford Street and Regent Street, this elegant Victorian town house offers a breakfast to go and is a short walk from many...",20 Hallam Street,,,London,Greater London,W1W 6JQ,UK,,,,,W1W,Hotel,,
YHA London Central,"Providing high-quality hostel accommodation in the heart of the capital, YHA London Central offers comfort and convenience.",104 Bolsover Street,,,London,Greater London,W1W 5NU,UK,,,,,W1W,Hostel,,
Luxury London 3 Bedroom Duplex with Pool Table 4,"Luxury London 3 Bedroom Duplex with Pool Table 4 is situated in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,Hosted by Saul,Entire apartment
"City Chic 3 Bedroom, 3 Bathroom Luxury Living 7","Offering city views, City Chic 3 Bedroom, 3 Bathroom Luxury Living 7 is an accommodation situated in London, 600 metres from Oxford Street and less than 1...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,Entire apartment
Stylish Spacious Retreat Luxury 2 Bedroom Haven 2,"Stylish Spacious Retreat Luxury 2 Bedroom Haven 2 is located in the Westminster Borough district of London, less than 1 km from Madame Tussauds, 1.",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,Entire apartment
"Modern London Luxury 3Bedroom, 3Bathroom Retreat 6","Modern London Luxury 3Bedroom, 3Bathroom Retreat 6 is located in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,Hosted by Saul,Entire apartment
Modern Elegance 1 Bedroom City Living in London 5,"Modern Elegance 1 Bedroom City Living in London 5 is located in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,Hosted by Saul,Entire apartment
Luxurious 1 Bedroom on Iconic Harley Street 1,"Luxurious 1 Bedroom on Iconic Harley Street 1 is a recently renovated apartment in the centre of London, less than 1 km from Oxford Circus and a 7-minute...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,Entire apartment
Stylish 3 Bedroom Luxury Apartment in Harley St 3,"Offering city views, Stylish 3 Bedroom Luxury Apartment in Harley St 3 is an accommodation located in London, 600 metres from Oxford Street and less than 1...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,Hosted by Saul,Entire apartment
Gem Fitzrovia Hotel,"In the heart of London's West End, this impressive Georgian building is now a 4-star Gem Fitzrovia Hotel.",20-28 Bolsover Street,,,London,Greater London,W1W 5NB,UK,,,,,W1W,Hotel,,
Lux Duplex near Oxford St,"Set in the centre of London, 700 metres from Oxford Circus and 700 metres from Oxford Street, Lux Duplex near Oxford St offers free WiFi and air...",126 Great Portland Street 3,,,London,Greater London,W1W 6PR,UK,,,,,W1W,Apartment,Managed by Adjoin Homes,Entire apartment
The Residence Fitzrovia - Private One Bedroom Apartment With Own Entrance,"Right in the centre of London, situated within a short distance of Oxford Circus and Oxford Street, The Residence Fitzrovia - Private One Bedroom Apartment...",Lower Ground Apartment,,116 New Cavendish Street,London,Greater London,W1W 6XU,UK,,,,,W1W,Apartment,Managed by Mi-Short Stay,Entire apartment
Steps to Oxford Street-Central 1BR Flat-Sleeps 4,"In the Westminster Borough district of London, close to Oxford Street, Steps to Oxford Street-Central 1BR Flat-Sleeps 4 features free WiFi and a washing...",7 Clipstone Street,,,London,Greater London,W1W 6BD,UK,,,,,W1W,Apartment,Managed by Kardash Real Estate,Entire apartment
Harley Street 3 Bedrooms and 3 Bathrooms Family Apartment,"Set in London, Harley Street 3 Bedroom 3 Bath Family Apartment offers city views and free WiFi, 800 metres from Oxford Street and 600 metres from Madame...",Harley Street,,,London,Greater London,W1G 6AJ,UK,,,,,W1G,Apartment,,Entire apartment
Styled 2B/2B Duplex with Patio near Oxford Circus,"Styled 2B/2B Duplex with Patio near Oxford Circus is set in the Westminster Borough district of London, 700 metres from Oxford Street, 1.",25B Gosfield Street,,,London,Greater London,W1W 6HQ,UK,,,,,W1W,Apartment,,Entire apartment
"Holiday Inn London - Regent's Park, an IHG Hotel","In the heart of London, this modern 4-star hotel is just a 5-minute walk from Regent’s Park and 2 Tube Stations.",Carburton Street,,,London,Greater London,W1W 5EE,UK,,,,,W1W,Hotel,,
Lovely Studio in Fitzrovia,"In the Westminster Borough district of London, close to Oxford Street, Lovely Studio in Fitzrovia features free WiFi and a washing machine.",27 Gosfield Street,,,London,Greater London,W1W 6HH,UK,,,,,W1W,Apartment,Hosted by The G Group,Entire apartment
Luxury 2 Bedroom Apartment in Central London,"Right in the centre of London, set within a short distance of Madame Tussauds and Regents Park, Luxury 2 Bedroom Apartment in Central London offers free...",117 Harley Street,,,London,Greater London,W1G 6AS,UK,,,,,W1G,Apartment,Hosted by Londoners,Entire apartment
2 Bedroom flat in great location!,"2 Bedroom flat in great location! in London offers accommodation with free WiFi, 1.1 km from Oxford Street, 1.4 km from Tottenham Court Road and 1.",25,,,London,Greater London,W1W 5AS,UK,,,,,W1W,Apartment,,Entire apartment
The Soho Loft - Elegant & Modern 1BDR,"The Soho Loft - Elegant & Modern 1BDR in London features accommodation with free WiFi, less than 1 km from Piccadilly Circus, a 5-minute walk from Oxford...",London,,,London,Greater London,W1S 2FL,UK,,,,,W1S,Apartment,,Entire apartment
The New Bond Street Loft - Modern & Central 1BDR,"The New Bond Street Loft - Modern & Central 1BDR in London offers accommodation with free WiFi, less than 1 km from Piccadilly Circus, a 5-minute walk from...",London,,,London,Greater London,W1S 2FL,UK,,,,,W1S,Apartment,,Entire apartment
Mayfair Luxury Apartment Sleeps 6 people,"Boasting air-conditioned accommodation with a terrace, Mayfair Luxury Apartment Sleeps 6 people is situated in London.",24 Old Burlington Street,,,London,Greater London,W1S 3AW,UK,,,,,W1S,Apartment,,Entire apartment
37GS Residences,"Situated in the centre of London, just 200 metres from Piccadilly Theatre and 200 metres from Carnaby Street, 37GS Residences features accommodation with...",37 Golden Square,,,London,Greater London,W1F 9LB,UK,,,,,W1F,Apartment,Managed by 37GS Residences,Apartments
A Stunning Three Bedroom Home in Mayfair,"Set in the centre of London, 800 metres from Piccadilly Theatre and less than 1 km from Piccadilly Circus, A Stunning Three Bedroom Home in Mayfair offers...",Flat 3,54 Maddox Street,,London,Greater London,W1S 1AY,UK,,,,,W1S,Apartment,,Entire apartment
Designer Apartment in Mayfair/Regent Street,"Designer Apartment in Mayfair/Regent Street is a recently renovated apartment in the centre of London, 300 metres from Oxford Circus and 100 metres from...",11 Hanover Square,,,London,Greater London,W1S 1JJ,UK,,,,,W1S,Apartment,Managed by Yuliia,Entire apartment
"Mandarin Oriental Mayfair, London","Boasting a bar, Mandarin Oriental Mayfair, London is situated in the centre of London, less than 1 km from Piccadilly Theatre.",22 Hanover Square,,,London,Greater London,W1S 1JP,UK,,,,,W1S,Hotel,,
Luxurious 2BD Flat Heart of London Mayfair!,"Right in the centre of London, situated within a short distance of Piccadilly Theatre and Piccadilly Circus, Luxurious 2BD Flat Heart of London Mayfair!",London,,,London,Greater London,W1S 1BL,UK,,,,,W1S,Apartment,,Entire apartment
Treehouse Hotel London,"Situated in London and with Oxford Circus reachable within 500 metres, Treehouse Hotel London features concierge services, non-smoking rooms, a terrace,...",14-15 Langham Place,,,London,Greater London,W1B 2QS,UK,,,,,W1B,Hotel,,
Oxford Street London by Threstle,"In the Westminster Borough district of London, close to Dominion Theatre, Oxford Street London by Threstle features free WiFi and a washing machine.",142-144 Oxford Street,,,London,Greater London,W1D 1LZ,UK,,,,,W1D,Apartment,,Apartments
The Langham London,"Located at the top of Regent Street, the prestigious Langham offers an award-winning glamorous bar, Artesian, and a stylish restaurant, Roux at the Landau.",1c Portland Place,Regent Street,,London,Greater London,W1B 1JA,UK,,,,,W1B,Hotel,,
Stunning 2 bed - Bond Street and Selfridges!,"Set in London, near Piccadilly Theatre, Oxford Circus and Oxford Street, Stunning 2 bed - Bond Street and Selfridges!",52 South Molton Street,,,London,Greater London,W1K 5SE,UK,,,,,W1K,Apartment,Hosted by Emma,Entire apartment
"Radisson Blu Edwardian Bond Street Hotel, London","Radisson Blu Edwardian, Bond Street (formerly Radisson Blu Edwardian Berkshire) - a boutique hotel in central London’s best location.",350 Oxford Street,,,London,Greater London,W1C 1BY,UK,,,,,W1C,Hotel,,
Stunning 2 Bedrooms Apartment Next Door To Selfridges and Oxford Street,"Stunning 2 Bedrooms Apartment Next Door To Selfridges and Oxford Street in London provides accommodation with free WiFi, 1.",Cavendish Buildings,Gilbert Street,,London,Greater London,W1K 5HH,UK,,,,,W1K,Apartment,,Entire apartment
Oxford Street Family Apartment,"In the Westminster Borough district of London, close to Oxford Circus, Oxford Street Family Apartment has free WiFi and a washing machine.",Gilbert Street,,,London,Greater London,W1C 2JS,UK,,,,,W1C,Apartment,,Entire apartment
Claridge's,The glamorous and elegant Claridge's presents sophisticated 5-star luxury in the heart of Mayfair.,41 - 43 Brook Street,,,London,Greater London,W1K 4HJ,UK,,,,,W1K,Hotel,,
Holiday Apartments Oxford Street,"In the Westminster Borough district of London, close to Oxford Circus, Holiday Apartments Oxford Street features free WiFi and a washing machine.",Gilbert Street,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,,Entire apartment
"Mayfair Studio Apartment - Modern Living, Central Charm! 9GC","Situated in London, 700 metres from Oxford Circus and 1.3 km from Piccadilly Theatre, Mayfair Studio Apartment - Modern Living, Central Charm!",395 Oxford Street 9 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Prestigious Apartment on Oxford Street - 3 Bedroom 7GC,"In a central area of London, set within a short distance of Oxford Street and Oxford Circus, Prestigious Apartment on Oxford Street - 3 Bedroom 7GC offers...",395 Oxford Street,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Luxury at Your Doorstep 2-Bedroom Gem on Oxford Street 10GC,"Situated in London, 700 metres from Oxford Circus and 1.",395 Oxford Street 10 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Prestigious Apartment on Oxford Street - 2 Bedroom 8GC,"Situated in the centre of London, 400 metres from Oxford Street and 700 metres from Oxford Circus, Prestigious Apartment on Oxford Street - 2 Bedroom 8GC...",395 Oxford Street,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Mayfair Shopping Retreat 2 Bedroom Luxury Apartment 8CB,"Situated in the centre of London, 1.4 km from Madame Tussauds and 800 metres from Oxford Circus, Mayfair Shopping Retreat 2 Bedroom Luxury Apartment 8CB...",8 Cavendish Buildings,Gilbert Street,,London,Greater London,W1K 5HH,UK,,,,,W1K,Apartment,Hosted by Simon,Entire apartment
City Pulse 3 Bedroom Modern Living on Oxford Street - GC2,"Situated in the centre of London, 1.3 km from Madame Tussauds and 700 metres from Oxford Circus, City Pulse 3 Bedroom Modern Living on Oxford Street - GC2...",395 Oxford Street 2 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa Apartments,Entire apartment
Modern 1-Bedroom Gem on Oxford Street - Unparalleled Elegance and Urban Comfort!,"In the Westminster Borough district of London, close to Oxford Circus, Modern 1-Bedroom Gem on Oxford Street - Unparalleled Elegance and Urban Comfort!",395 Oxford Street 1 Gilbert court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Mayfair Modern Living - Stylish 1-Bedroom Apartment! 6GC,"In a central area of London, located within a short distance of Madame Tussauds and Oxford Circus, Mayfair Modern Living - Stylish 1-Bedroom Apartment!",395 Oxford Street 6 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Oxford Street Apartments Hosted by Maysa London,"Right in the heart of London, situated within a short distance of Madame Tussauds and Oxford Circus, Oxford Street Apartments Hosted by Maysa London offers...",395 Oxford Street 4 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa Apartments,Entire apartment
Oxford Street Apartments Hosted by Maysa London,"In the heart of London, set within a short distance of Madame Tussauds and Oxford Circus, Oxford Street Apartments Hosted by Maysa London offers free WiFi,...",395 Oxford Street 5 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
Prestigious Apartment on Oxford Street - 1 Bedroom,"In a central area of London, set within a short distance of Madame Tussauds and Oxford Circus, Prestigious Apartment on Oxford Street - 1 Bedroom offers...",395 Oxford Street 3 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa Apartments,Entire apartment
Classic Mayfair 1 BR apartment,"In the Westminster Borough district of London, close to Oxford Circus, Classic Mayfair 1 BR apartment features free WiFi and a washing machine.",Cavendish Buildings,Gilbert Street,Mayfair,London,Greater London,W1K 5HH,UK,,,,,W1K,Apartment,,Entire apartment
Oxford Street Mayfair Family Condo,"In the Westminster Borough district of London, close to Oxford Circus, Oxford Street Mayfair Family Condo has free WiFi and a washing machine.",Gilbert Street,,,London,Greater London,W1K 5HJ,UK,,,,,W1K,Apartment,,Entire apartment
