name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
"Luxury townhouse in town centre, views, river walk","Boasting inner courtyard views, Luxury townhouse in town centre, views, river walk offers accommodation with a garden and a patio, around 26 km from...",1 Haughmond View,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,Hosted by Helen,Entire home
Pass the Keys 2 Bedroom Apartment with Parking,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Pass the Keys 2 Bedroom Apartment with Parking provides accommodation...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6FR,UK,,,,,SY2,Apartment,,Entire apartment
Oak Lodge,"Boasting a sauna, Oak Lodge is set in Hadnall. The property is around 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Shrewsbury Townhouse,"Offering inner courtyard views, Shrewsbury Townhouse is an accommodation set in Shrewsbury, 27 km from Telford International Centre and 1.",2 Mount Street,,,Shrewsbury,Shropshire,SY3 8QP,UK,,,,,SY3,Holiday home,Hosted by Adrian,Entire home
Birchwood House,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Birchwood House features accommodation with city views, free WiFi and free private...",Birchwood House,Clive Avenue,,Church Stretton,Shropshire,SY6 7BS,UK,,,,,SY6,Apartment,,Entire apartment
"Burlington Place, Shrewsbury. 2 bedroom, private parking, 5 minutes from town","Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Burlington Place, Shrewsbury.",9 Burlington Place,,,Shrewsbury,Shropshire,SY3 7LF,UK,,,,,SY3,Apartment,Hosted by Jessica,Entire apartment
mega pod 5,"Situated in Church Stretton, 32 km from Ironbridge Gorge and 47 km from Telford International Centre, mega pod 5 provides a restaurant.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Pepperpot Lodge,"Located 39 km from Telford International Centre and 41 km from Ironbridge Gorge in Baschurch, Pepperpot Lodge offers accommodation with a kitchen.",Baschurch,,,Baschurch,Shropshire,SY4 2EP,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Pass the Keys Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
4 Bedroom House. Close to Shrewsbury Town Centre,"4 Bedroom House. Close to Shrewsbury Town Centre, a property with a garden, is located in Shrewsbury, 27 km from Telford International Centre, 1.",2 Coton Crescent,,,Shrewsbury,Shropshire,SY1 2NY,UK,,,,,SY1,Holiday home,,Entire home
Pear Tree Cottage,"Boasting inner courtyard views, Pear Tree Cottage offers accommodation with a patio, around 39 km from Ironbridge Gorge.",Great Ness,,,Shrewsbury,Shropshire,SY4 2LE,UK,,,,,SY4,Guest house,Hosted by Sam.,
Personal En-suite,"Offering a garden and garden view, Personal En-suite is located in Shrewsbury, 30 km from Telford International Centre and 4.6 km from Shrewsbury...",12 Capel Close,,,Shrewsbury,Shropshire,SY3 8BZ,UK,,,,,SY3,Guest house,,
Ravelstone,"Located in Church Stretton in the Shropshire region, Ravelstone features a patio.",5 Shrewsbury Road,,,Church Stretton,Shropshire,SY6 6JA,UK,,,,,SY6,Holiday home,,Entire home
The Moorhead Bed & Breakfast,"Offering a garden and garden view, The Moorhead Bed & Breakfast is situated in Wem, 42 km from Telford International Centre and 44 km from Trentham...",Edstaston,,,Wem,Shropshire,SY4 5RG,UK,,,,,SY4,Bed and breakfast,Hosted by Rebecca & Phil,
The annex at 44 Belvidere Road,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, The annex at 44 Belvidere Road features accommodation with free WiFi and...",44 Belvidere Road,,,Shrewsbury,Shropshire,SY2 5LX,UK,,,,,SY2,Apartment,,Entire apartment
Sunny Corner,"Sunny Corner, a property with barbecue facilities, is set in Church Stretton, 43 km from Telford International Centre, 13 km from Stokesay Castle, as well...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DD,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
NiCheGetaway,"Housed in a historic building, NiCheGetaway provides accommodation with a garden and free WiFi in Shrewsbury, 26 km from Ironbridge Gorge.",Claremont buildings apartment 5Q,,,Shrewsbury,Shropshire,SY1 1RJ,UK,,,,,SY1,Apartment,Hosted by At Niche gateway a real special retreat,Entire apartment
Hideaway in the Hills,"Situated in Church Stretton and only 19 km from Ironbridge Gorge, Hideaway in the Hills features accommodation with garden views, free WiFi and free...",Broome Cottage,,,Church Stretton,Shropshire,SY6 7LD,UK,,,,,SY6,Chalet,Hosted by Clae,Entire home
Pickle Cottage,"Located in Church Stretton in the Shropshire region, Pickle Cottage provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Pass the Keys Stylish modern 2 bedroom townhouse with parking,"Set 27 km from Ironbridge Gorge, Pass the Keys Stylish modern 2 bedroom townhouse with parking offers accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 9FN,UK,,,,,SY3,Holiday home,Managed by Patrick,Entire home
The Barn,"The Barn, a property with a garden, is situated in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km from Chester...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
"Finest Retreats - Shropshire Cottage, 2 bedrooms, sleeps 3","Finest Retreats - Shropshire Cottage, 2 bedrooms, sleeps 3, a property with a garden, is located in Marchamley, 28 km from Telford International Centre, 33...",Eastlands White Hous,,,Marchamley,Shropshire,SY4 5LE,UK,,,,,SY4,Holiday home,Managed by Finest Retreats,Entire home
Hencote Vineyard Glamping Village,"Offering a garden and garden view, Hencote Vineyard Glamping Village is situated in Shrewsbury, 29 km from Telford International Centre and 31 km from...",hencote,crosshill,,Shrewsbury,Shropshire,SY4 3AB,UK,,,,,SY4,Luxury tent,Managed by Hencote,
Shepherds Hut at Lythwood,"Shepherds Hut at Lythwood, a property with a garden, is situated in Shrewsbury, 28 km from Telford International Centre, 6.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 0AB,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The shepherds hut,"Offering a terrace and garden view, The shepherds hut is situated in Shrewsbury, 32 km from Telford International Centre and 10 km from Shrewsbury...",Smallbatch cottage,Exfords green,longden,Shrewsbury,Shropshire,SY5 8HG,UK,,,,,SY5,Luxury tent,,
Boutique Shrewsbury Rooms,"Boutique Shrewsbury Rooms is located in Shrewsbury, 25 km from Telford International Centre, 50 km from Chillington Hall, as well as 1.",14A Underdale Road,,,Shrewsbury,Shropshire,SY2 5DL,UK,,,,,SY2,Homestay,Managed by Underdale Property Management Ltd,
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
Stables Wem,"Stables Wem, a property with a garden, is situated in Wem, 42 km from Ironbridge Gorge, 45 km from Trentham Gardens, as well as 47 km from Chester...",20 Wemsbrook Road,,,Wem,Shropshire,SY4 5AH,UK,,,,,SY4,Apartment,,Entire apartment
Beaconsfield Park,"Featuring a hot tub, Beaconsfield Park is set in Shrewsbury. There is an on-site restaurant, plus free private parking and free WiFi are available.",Upper Battlefield,,,Shrewsbury,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday park,Managed by Hoseasons,
2 Bed in Shrewsbury 47795,"Set in Ryton and only 31 km from Ironbridge Gorge, 2 Bed in Shrewsbury 47795 offers accommodation with garden views, free WiFi and free private parking.","Ryton - The Old Milking Parlour
Ryton
Dorrington",,,Ryton,,SY5 7LW,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
Little Glenwood,"Located 43 km from Ironbridge Gorge, Little Glenwood provides accommodation with free WiFi and free private parking.",knockin heath,,,Knockin,Shropshire,SY10 8EA,UK,,,,,SY10,Apartment,,Entire apartment
Burlton Inn,"Located in Burlton which is a lovely quiet village on the road between Shrewsbury and Ellesmere, Burlton Inn features traditional homemade fresh pub food,...",Burlton,Shropshire,,Burlton,Shropshire,SY4 5TB,UK,,,,,SY4,Inn,,
Pass the Keys 5C Charming Town Centre Apartment With Roof Top Views,"Pass the Keys 5C Charming Town Centre Apartment With Roof Top Views, a property with a terrace, is situated in Shrewsbury, 26 km from Ironbridge Gorge, 27...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Wisteria Cottages are self catering cottages in a beautiful village location,"Wisteria Cottages are self catering cottages in a beautiful village location features mountain views, free WiFi and free private parking, set in...",Wysteria House,,,Dorrington,Shropshire,SY5 7LS,UK,,,,,SY5,Apartment,,Apartments
Pass the Keys A unique and cosy cottage - optional hot tub,"Located in Church Stretton in the Shropshire region, Pass the Keys A unique and cosy cottage - optional hot tub has a terrace.",Church Stretton,,,Church Stretton,Shropshire,SY6 6DA,UK,,,,,SY6,Holiday home,Managed by David,Entire home
42 Albury Place,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 42 Albury Place provides accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY12EY,UK,,,,,SY12EY,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
The Little Cygnet on Swan Hill,"Located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, The Little Cygnet on Swan Hill provides quiet street views...",15A Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo Henshaw owner and founder of Stayinshrewsbury,Entire apartment
Fair Haven,"Located 24 km from Telford International Centre, Fair Haven provides accommodation with free WiFi and free private parking.",30 Montgomery Way,,,Shrewsbury,Shropshire,SY1 4SW,UK,,,,,SY1,Holiday home,Hosted by Keith,Entire home
The Jays,"Set in Church Stretton in the Shropshire region, The Jays offers accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 6AE,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Malthouse,"Located beside the River Severn in the village of Ironbridge, the lively Malthouse boasts free WiFi, free on-site parking, a bar and a restaurant.",The Wharfage,,,Ironbridge,Shropshire,TF8 7NH,UK,,,,,TF8,Bed and breakfast,,
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Pickle Cottage,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Pickle Cottage features accommodation with garden views, free WiFi and free private...",1 Crossways,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,,Entire home
The Stowe,"Located 27 km from Telford International Centre, 700 metres from Shrewsbury Cathedral and 8.",Roushill,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Homestay,,
Birchwood House,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Birchwood House features accommodation with city views, free WiFi and free private...",Birchwood House,Clive Avenue,,Church Stretton,Shropshire,SY6 7BS,UK,,,,,SY6,Apartment,,Entire apartment
The Pod,"Located in Shrewsbury in the Shropshire region, The Pod provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 9JP,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
House In The Hills,"Boasting a hot tub, House In The Hills is located in Church Stretton.",Church Stretton,,,Church Stretton,Shropshire,SY6 6BB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Most Central Luxury Grade 2 Listed Apartment Overlooking Shrewsbury Square - Free Parking,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Most Central Luxury Grade 2 Listed Apartment Overlooking Shrewsbury Square -...",6 The Square,,,Shrewsbury,Shropshire,SY1 1LA,UK,,,,,SY1,Apartment,,Entire apartment
9 Bromleys Court,"Offering a garden and quiet street view, 9 Bromleys Court is situated in Church Stretton, 43 km from Telford International Centre and 13 km from Stokesay...",Number 9 Bromleys Court,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Holiday home,,Entire home
Abbey Cottage,"Located in Shrewsbury, 23 km from Ironbridge Gorge and 24 km from Telford International Centre, Abbey Cottage provides accommodation with free WiFi in a...",2 Coldbath Court,,,Shrewsbury,Shropshire,SY2 6AH,UK,,,,,SY2,Holiday home,Hosted by Louise & Steve,Entire home
Pass the Keys 4 Bedroom home close to town,"Situated in Shrewsbury in the Shropshire region, Pass the Keys 4 Bedroom home close to town features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2TE,UK,,,,,SY1,Holiday home,Managed by Richard,Entire home
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,Managed by Katie,Entire home
Black Lion Barn Retreat,"Black Lion Barn Retreat is located in Shrewsbury, 37 km from Telford International Centre, 13 km from Shrewsbury Cathedral, as well as 19 km from Attingham...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8EA,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Grange at Hencote,"Boasting a hot tub, The Grange at Hencote is located in Shrewsbury. This property offers access to a terrace and free private parking.",Hencote,Crosshill,,Shrewsbury,Shropshire,SY4 3AB,UK,,,,,SY4,Holiday home,,Entire home
Gorgeview Cottage,"Located in Ironbridge in the Shropshire region, Gorgeview Cottage features a patio. Guests can benefit from a balcony and a picnic area.",53 Belmont Road,,,Ironbridge,Shropshire,TF8 7QT,UK,,,,,TF8,Holiday home,,Entire home
The Old Chapel,"The Old Chapel, a property with barbecue facilities, is situated in Shelve, 46 km from Telford International Centre, 22 km from Shrewsbury Cathedral, as...",Shelve,,,Shelve,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Windy Mundy Farm,"Situated in Shrewsbury in the Shropshire region, Windy Mundy Farm features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7DN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Curlew Cottage,"Curlew Cottage, a property with a garden, is situated in Bishops Castle, 24 km from Shrewsbury Cathedral, 29 km from Dolforwyn Castle, as well as 29 km...",Bishops Castle,,,Bishops Castle,Shropshire,SY5 0EE,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Black Lion Barn Retreat,"Black Lion Barn Retreat is located in Shrewsbury, 37 km from Telford International Centre, 13 km from Shrewsbury Cathedral, as well as 19 km from Attingham...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8EA,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Shrewsbury Townhouse with Parking,"Located in Harlescott and only 24 km from Telford International Centre, Shrewsbury Townhouse with Parking provides accommodation with quiet street views,...",1 Old Heath,,,Harlescott,Shropshire,SY1 4SB,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
mega pod 5,"Situated in Church Stretton, 32 km from Ironbridge Gorge and 47 km from Telford International Centre, mega pod 5 provides a restaurant.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
The Barn,"Situated 24 km from Telford International Centre, The Barn features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4HG,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Magnolia Cottage,"Offering a garden and garden view, Magnolia Cottage is located in Church Stretton, 43 km from Telford International Centre and 13 km from Stokesay Castle.",50 Watling Street South,,,Church Stretton,Shropshire,SY6 7BQ,UK,,,,,SY6,Holiday home,Hosted by Silvie & Mark Wright,Entire home
Sayang House,"Nestled within picturesque rolling countryside, Sayang House features an acre of gardens and scenic walking trails on its doorstep.",Sayang House,Hope Bowdler,,Church Stretton,Shropshire,SY6 7DD,UK,,,,,SY6,Bed and breakfast,Hosted by Claire and Gary Szreider,
Woodpeckers Cottage,"Woodpeckers Cottage is situated in Church Stretton, 43 km from Telford International Centre, 14 km from Stokesay Castle, as well as 22 km from Shrewsbury...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DP,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Rowton Castle,"Rowton Castle is a beautiful 17th-century Grade II listed building, set in 17 acres of tranquil grounds, and 6 miles from the historic market town of...",Halfway House,,,Shrewsbury,Shropshire,SY5 9EP,UK,,,,,SY5,Hotel,,
Minton Lane Cottage,"Minton Lane Cottage, a property with a garden and barbecue facilities, is situated in Church Stretton, 46 km from Telford International Centre, 12 km from...",Church Stretton,,,Church Stretton,Shropshire,SY6 6PR,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"Coach House, Shrewsbury Town","Situated 25 km from Telford International Centre, 400 metres from Shrewsbury Cathedral and 7.",St Julians Cresent,,,Shrewsbury,Shropshire,SY1 1UD,UK,,,,,SY1,Holiday home,,Entire home
Ploughmans Cottage,"Ploughmans Cottage, a property with a garden, is set in Preesgreen, 40 km from Telford International Centre, 43 km from Ironbridge Gorge, as well as 45 km...",Preesgreen,,,Preesgreen,Shropshire,SY4 5RT,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Shrewsbury Townhouse with Open Plan Living,"Located 24 km from Telford International Centre, Shrewsbury Townhouse with Open Plan Living provides accommodation with free WiFi and free private parking.",1 Old Heath 7 Hansas,,,Shrewsbury,Shropshire,SY1 4SG,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
Hereford Road Shrewsbury Cottage,"Offering garden views, Hereford Road Shrewsbury Cottage is an accommodation set in Shrewsbury, 26 km from Telford International Centre and 1.",98 Hereford Road,,,Shrewsbury,Shropshire,SY3 7RA,UK,,,,,SY3,Apartment,,Entire apartment
Pass the Keys Unique charming and peaceful countryside lodge,"Set in Shrewsbury in the Shropshire region, Pass the Keys Unique charming and peaceful countryside lodge offers accommodation with free WiFi and free...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4EE,UK,,,,,SY4,Holiday home,Managed by Stef and Rob,Entire home
The Tractor Shed,"The Tractor Shed, a property with barbecue facilities, is set in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Soulton Hall,"Boasting a garden and views of garden, Soulton Hall is a country house set in a historic building in Wem, 41 km from Telford International Centre.",Soulton Hall,Shrewsbury,,Wem,Shropshire,SY4 5RS,UK,,,,,SY4,Country house,,
The Swift,"Located 44 km from Chester Racecourse, The Swift provides accommodation with free WiFi and free private parking.",Whitchurch,,,Whitchurch,Shropshire,SY13 2QS,UK,,,,,SY13,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Little Smithy,"Little Smithy is situated in Shrewsbury, 30 km from Telford International Centre, 8.7 km from Shrewsbury Cathedral, and 12 km from Attingham Park.",Smithy House Condover,,,Shrewsbury,Shropshire,SY5 7AA,UK,,,,,SY5,Holiday home,Hosted by Sarah,Entire home
Abbots Mead Hotel,"In the heart of Shrewsbury town centre, with free private parking and free Wi-Fi, this carefully preserved Georgian townhouse offers, 16 en suite rooms and...",St Julians Friars,,,Shrewsbury,Shropshire,SY1 1XL,UK,,,,,SY1,Hotel,,
Grove Farm Cottage,"Set in Condover in the Shropshire region, Grove Farm Cottage offers accommodation with free WiFi and free private parking.",Condover,,,Condover,Shropshire,SY5 7BH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Habberley Glamping Pods,"Habberley Glamping Pods is a recently renovated campground in Shrewsbury, where guests can make the most of its garden and barbecue facilities.",EastridgeGlamping,Habberley,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping Limited,
Rose Cottage,"Rose Cottage has a patio and is situated in Shrewsbury, within just 1.5 km of Shrewsbury Cathedral. This holiday home is 7 km from Attingham Park and 2.",38 Rea Street,,,Shrewsbury,Shropshire,SY3 7PT,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Mountain Edge Resort Lodge 3,"Boasting a hot tub, Mountain Edge Resort Lodge 3 is set in Church Stretton.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Shepherds Cottage,"Shepherds Cottage, a property with a garden, is situated in Church Stretton, 14 km from Stokesay Castle, 22 km from Shrewsbury Cathedral, as well as 25 km...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DP,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Hope Hall Barn,"Hope Hall Barn, a property with a garden, is located in Bromlow, 44 km from Telford International Centre, 21 km from Shrewsbury Cathedral, as well as 26 km...",Bromlow,,,Bromlow,Shropshire,SY5 0EN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Sayang House,"Nestled within picturesque rolling countryside, Sayang House features an acre of gardens and scenic walking trails on its doorstep.",Sayang House,Hope Bowdler,,Church Stretton,Shropshire,SY6 7DD,UK,,,,,SY6,Bed and breakfast,Hosted by Claire and Gary Szreider,
The Granary at Hawkhurst,"Situated in Craven Arms and only 36 km from Ironbridge Gorge, The Granary at Hawkhurst features accommodation with garden views, free WiFi and free private...",Hawkhurst Farm,,,Craven Arms,Shropshire,SY7 8HR,UK,,,,,SY7,Holiday home,Hosted by Nicky,Entire home
Old Post Office,"Featuring a shared lounge, restaurant, bar and free WiFi, Old Post Office is located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford...",1 Milk Street Shrewsbury,,,Shrewsbury,Shropshire,SY1 1SZ,UK,,,,,SY1,Inn,,
House In The Hills,"Boasting a hot tub, House In The Hills is located in Church Stretton.",Church Stretton,,,Church Stretton,Shropshire,SY6 6BB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Pass the Keys 4 Bedroom home close to town,"Situated in Shrewsbury in the Shropshire region, Pass the Keys 4 Bedroom home close to town features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2TE,UK,,,,,SY1,Holiday home,Managed by Richard,Entire home
The Maltings,"Housed in a historic building, The Maltings provides accommodation with a garden and free WiFi in Shrewsbury, 25 km from Ironbridge Gorge.",5 Berwick Road,,,Shrewsbury,Shropshire,SY1 2LL,UK,,,,,SY1,Holiday home,,Entire home
The Garden House,"The Garden House is located in Shrewsbury, 29 km from Telford International Centre, 3.7 km from Shrewsbury Cathedral, and 11 km from Attingham Park.",47 Copthorne Park,,,Shrewsbury,Shropshire,SY3 8TH,UK,,,,,SY3,Apartment,Hosted by Mike Bazeley & Dawn Harrison,Entire apartment
Relaxing Town Centre House - Perfect for Exploring,"Set in Shrewsbury, Relaxing Town Centre House - Perfect for Exploring is a recently renovated accommodation, 26 km from Ironbridge Gorge and 26 km from...",Saint Michael's Street 54a,,,Shrewsbury,Shropshire,SY1 2EZ,UK,,,,,SY1,Holiday home,Managed by Severn Stays,Entire home
Pass the Keys Superbly Located Handsome Georgian Townhouse,"Pass the Keys Superbly Located Handsome Georgian Townhouse, a property with a garden, is located in Shrewsbury, 27 km from Telford International Centre,...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1LP,UK,,,,,SY1,Holiday home,Managed by Pass the Keys Shropshire,Entire home
